accelerometer_x,accelerometer_y,accelerometer_z,uAccelerometer_x,uAccelerometer_y,uAccelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,target
-0.8595184087753296,1.8986018896102905,8.157344818115234,-2.080075740814209,-2.454620122909546,3.825201988220215,0.19883663952350616,1.0261772871017456,-0.6988298296928406,-26.099998474121094,13.979999542236328,-29.099998474121094,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.608127236366272,2.5713725090026855,8.19804573059082,-0.38213634490966797,-0.868401288986206,-0.2331218719482422,0.20799961686134338,-1.0727556943893433,0.029932396486401558,-24.600000381469727,14.09999942779541,-29.279998779296875,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.7254431247711182,2.631227731704712,8.645761489868164,-0.5636059641838074,0.32649874687194824,-0.7459249496459961,0.2177734673023224,0.04573853686451912,0.22846360504627228,-24.779998779296875,13.5,-29.51999855041504,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.7086837291717529,2.406172752380371,9.004891395568848,-0.9596301913261414,0.4548804759979248,-1.3261322975158691,-0.025961773470044136,0.15569427609443665,-0.09529497474431992,-25.739999771118164,12.719999313354492,-29.15999984741211,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.4141969084739685,1.9752163887023926,9.711181640625,-1.7130028009414673,-0.9822068214416504,-0.46340370178222656,-0.7376197576522827,0.02496911771595478,-0.2889392673969269,-26.81999969482422,12.779999732971191,-28.920000076293945,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.3064578175544739,1.9321208000183105,9.945813179016113,1.2527711391448975,0.5109825134277344,1.9499635696411133,0.3588833212852478,0.05734497308731079,0.2590068578720093,-27.0,13.5,-29.51999855041504,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.22266076505184174,1.9081788063049316,10.314519882202148,-0.31693702936172485,-2.019923686981201,4.300637245178223,0.0064140851609408855,-0.01840231567621231,0.5455026626586914,-27.420000076293945,13.619999885559082,-29.639999389648438,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.16998831927776337,1.9752163887023926,10.585064888000488,1.7603412866592407,0.754011869430542,-2.750546455383301,-0.10965031385421753,1.1196396350860596,0.607810914516449,-28.079999923706055,13.739999771118164,-29.15999984741211,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.5027823448181152,2.1380221843719482,10.479720115661621,0.11476793885231018,0.17447566986083984,-1.8126697540283203,-0.5262604355812073,1.2558625936508179,1.9999728202819824,-28.3799991607666,13.920000076293945,-29.03999900817871,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.6488286852836609,2.1930887699127197,10.010457038879395,-0.5157703757286072,0.10112762451171875,-0.7500877380371094,0.389426589012146,-0.8791114687919617,0.08246681094169617,-28.799999237060547,13.619999885559082,-29.15999984741211,"['userActivity.WALKING', 'ActivityType.UNKNOWN']"
-0.629675030708313,2.2673089504241943,9.694421768188477,0.20564627647399902,1.0893476009368896,0.041451454162597656,0.36621370911598206,-0.5461899042129517,-0.29626965522766113,-28.31999969482422,13.380000114440918,-29.760000228881836,"['userActivity.WALKING', 'ActivityType.WALKING']"
-0.4213795065879822,2.5067291259765625,8.98813247680664,-1.499765396118164,-1.2863481044769287,-0.0861825942993164,-0.45173484086990356,0.22594378888607025,-0.8436049222946167,-27.599998474121094,13.679999351501465,-29.399999618530273,"['userActivity.WALKING', 'ActivityType.WALKING']"
-0.28969839215278625,2.6192567348480225,8.636184692382812,-1.890155553817749,-2.5779569149017334,4.703078269958496,-0.030237829312682152,-0.07887797802686691,0.08796459436416626,-27.779998779296875,13.5,-29.279998779296875,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.09816227108240128,2.911349296569824,7.963414192199707,-0.23584532737731934,-0.6268606185913086,-1.576375961303711,-0.5372560024261475,-0.15279266238212585,0.0959058403968811,-27.420000076293945,13.4399995803833,-30.059999465942383,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.2801215946674347,3.0885202884674072,7.738358974456787,4.779097557067871,1.601467490196228,-0.9698247909545898,-0.7767151594161987,0.2644282877445221,-0.06169738993048668,-27.479999542236328,13.319999694824219,-30.059999465942383,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.38067805767059326,3.5386300086975098,7.618649005889893,-0.43208375573158264,0.197806715965271,1.594522476196289,0.4437935948371887,-0.6836345791816711,0.294437050819397,-27.35999870300293,13.139999389648438,-29.69999885559082,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.3471592366695404,3.73016619682312,7.810185432434082,-0.480429470539093,0.29364097118377686,-0.4302654266357422,0.7932085394859314,-0.16623170673847198,0.40744712948799133,-26.639999389648438,12.65999984741211,-29.219999313354492,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.45010992884635925,3.9240965843200684,8.054393768310547,1.7556836605072021,2.9316327571868896,0.27030277252197266,0.4749477207660675,0.2338850349187851,0.1264491081237793,-26.279998779296875,12.65999984741211,-29.15999984741211,"['userActivity.WALKING', 'ActivityType.WALKING']"
0.4644751250743866,3.883395195007324,8.080730438232422,-0.6595773100852966,-2.1285204887390137,1.8333587646484375,-0.7657195925712585,0.08544477820396423,-0.18570303916931152,-26.279998779296875,13.559999465942383,-29.939998626708984,"['userActivity.WALKING', 'ActivityType.WALKING']"
